,shrinkage,interaction.depth,n.minobsinnode,n.trees,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
676,0.401585477,4,13,268,17.02244763,0.286612728,12.61271635,7.338232881,0.256493619,4.565240871
903,0.535079896,10,10,2239,17.02263051,0.295317571,13.59464366,5.484503182,0.254050751,4.366435702
582,0.345982996,1,5,1378,17.04342609,0.230237776,13.43484744,3.09386838,0.21066244,2.841327333
871,0.511784367,8,7,3293,17.06377196,0.204253314,13.15634249,5.648886783,0.160496912,3.432498661
951,0.567732212,4,17,567,17.06741224,0.248562282,12.96846027,6.517975319,0.278777558,4.20635089
184,0.106240306,6,14,4027,17.08413622,0.305627558,12.66116949,7.172914487,0.258821656,5.03932597
304,0.176682994,1,10,1662,17.08500158,0.332117199,13.36194119,6.423328996,0.32206758,4.398762156
400,0.228109139,1,15,1452,17.08515166,0.283542563,12.90316056,7.455970241,0.213733271,4.656810446
453,0.26033603,3,12,3272,17.08708828,0.303530967,13.00639721,5.473937543,0.233609859,4.05771666
87,0.056521537,7,13,4910,17.08814369,0.304545153,12.83203255,7.109998813,0.284258918,4.609860241
206,0.11834831,4,15,3888,17.10746016,0.290024943,12.5133237,7.196973329,0.256779129,4.799695315
353,0.20676411,3,17,2627,17.11411862,0.236940993,12.92481044,7.213234321,0.226547507,5.02775313
311,0.18047939,1,6,3797,17.12869291,0.257807744,14.34969806,3.451052001,0.232517504,3.137821968
813,0.481968061,10,11,1302,17.12895072,0.285845484,12.84859707,6.140223632,0.216691536,4.666682359
847,0.499123162,8,10,866,17.13634328,0.208907078,13.48102926,6.243371086,0.232212521,4.874720336
942,0.564646496,4,17,822,17.15202343,0.252090034,12.28818682,6.66026114,0.259719478,3.927519798
339,0.198520079,3,17,3351,17.15332682,0.234817866,12.70726816,6.736978908,0.230738972,4.371291061
129,0.082454287,9,14,4834,17.15390403,0.292788661,12.71509155,6.670643138,0.229628057,4.549250885
248,0.149148867,4,17,2655,17.17039332,0.23866948,12.68321389,6.895491906,0.24392643,4.733915275
647,0.379745432,2,17,1783,17.18492291,0.221848412,13.13560138,6.625853595,0.227996898,4.407075359
285,0.165943341,1,16,4162,17.20170391,0.301148568,12.58158058,7.365365599,0.236854585,5.096744724
598,0.35573151,10,15,1206,17.25385918,0.27109116,12.81278065,6.556151879,0.204549118,4.580470986
552,0.323222104,9,15,1605,17.26885711,0.296887275,12.96481737,6.902744056,0.245980496,4.511150856
777,0.463395707,2,10,2314,17.27239221,0.214788543,13.28273022,4.469005802,0.216076438,3.30224302
917,0.54353999,2,11,4880,17.27866551,0.339432899,13.56257686,6.933979809,0.232664873,5.466656254
821,0.486795265,9,12,1263,17.29090967,0.247416391,13.2302816,5.469661353,0.246337897,4.635469192
941,0.563384098,5,10,3076,17.30293583,0.238760478,13.61687528,6.210644422,0.271029946,4.887471205
957,0.573445742,4,11,3716,17.34087681,0.266406862,13.50398472,4.633903792,0.166256477,3.379178071
936,0.559356616,3,11,2249,17.34980246,0.242524576,14.20970352,5.636197789,0.275710196,4.523685623
905,0.535757914,1,9,696,17.37973461,0.305672105,13.82159949,4.872665859,0.285607905,3.532938959
380,0.218253088,7,17,3948,17.380744,0.274752425,13.10278017,6.800180768,0.232521352,4.821816661
625,0.368769692,4,17,3377,17.39828471,0.310039182,12.99631689,7.772216679,0.24481726,5.650946948
585,0.347692042,1,9,1024,17.41035987,0.322148939,13.55278149,5.851143566,0.316906189,4.242822607
460,0.262363626,3,14,1545,17.41509673,0.29567308,13.10961437,7.018875978,0.251823035,4.631929744
434,0.25154199,4,16,3349,17.42752466,0.29162126,12.91097766,6.992451177,0.253189185,4.417164762
259,0.153547485,7,17,4376,17.43644733,0.233393843,13.11666764,6.838399494,0.249199243,4.829683692
819,0.484594089,2,11,664,17.43821309,0.261200922,13.76696799,5.709057428,0.220641165,4.354030004
